Index,Ranking,Movie Title,Studio,Adjusted Gross,Unadjusted Gross,Year,Sentiment Score
0,1,Gone with the Wind,MGM,1739604200,198676459,1939,50.75568182
1,2,Star Wars,Fox,1533609700,460998007,1977,52.91690341
2,3,The Sound of Music,Fox,1226196400,158671368,1965,64.5004798
3,4,E.T.: The Extra-Terrestrial,Uni.,1221365800,435110554,1982,55.04686147
4,5,Titanic,Par.,1166435200,658672302,1997,51.78573232
5,6,The Ten Commandments,Par.,1127910000,65500000,1956,50.49433923
6,7,Jaws,Uni.,1102758600,260000000,1975,52.25555556
7,8,Doctor Zhivago,MGM,1068806300,111721910,1965,49.915
8,9,The Exorcist,WB,952258800,232906145,1973,50.99832251
9,10,Snow White and the Seven Dwarfs,Dis.,938490000,184925486,1937,53.50962662
10,11,Star Wars: The Force Awakens,BV,930871000,936662225,2015,51.47935606
11,12,101 Dalmatians,Dis.,860287500,144880014,1961,55.07443182
12,13,The Empire Strikes Back,Fox,845335300,290475067,1980,62.59816498
13,14,Ben-Hur,MGM,843780000,74000000,1959,50.7129798
14,15,Avatar,Fox,837367900,760507625,2009,52.2757702
15,16,Return of the Jedi,Fox,809851500,309306177,1983,51.47694805
16,17,Jurassic Park,Uni.,791448000,402453882,1993,53.37727273
17,18,Star Wars: Episode I - The Phantom Menace,Fox,777587000,474544677,1999,54.35194805
18,19,The Lion King,BV,767550700,422783777,1994,53.31462121
19,20,The Sting,Uni.,767520000,156000000,1973,56.175
20,21,Raiders of the Lost Ark,Par.,762215600,248159971,1981,51.34417388
21,22,The Graduate,AVCO,736815800,104945305,1967,51.96865651
22,23,Fantasia,Dis.,715004300,76408097,1941,50.83693182
23,24,Jurassic World,Uni.,680613600,652270625,2015,50.375
24,25,The Godfather,Par.,679523300,134966411,1972,54.51650433
25,26,Forrest Gump,Par.,676872000,330252182,1994,51.45297619
26,27,Mary Poppins,Dis.,673145500,102272727,1964,57.995193
27,28,Grease,Par.,662704800,188755690,1978,53.47602543
28,29,Marvel's The Avengers,BV,661947300,623357910,2012,52.42569444
29,30,Thunderball,UA,644028000,63595658,1965,56.21244589
